Date,"General government debt, % of GDP: net JPY","General government debt, % of GDP: net GBP","General government balance, % of GDP: overall JPY","General government balance, % of GDP: overall GBP","Main producer price index: %oya, 3mma GBP","Main producer price index: %oya, 3mma Japan",Merchandise trade balance ratio change (sa): 3M/3M Japan,Merchandise trade balance ratio change (sa): 3M/3M GBP,Generic government bond returns: 5-year maturity Japan,Generic government bond returns: 5-year maturity GBP
1994-12-09,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1994-12-12,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1994-12-13,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1994-12-14,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1994-12-15,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1994-12-16,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1994-12-19,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1994-12-20,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1994-12-21,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1994-12-22,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1994-12-23,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1994-12-27,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1994-12-28,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1994-12-29,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1994-12-30,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1995-01-03,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1995-01-04,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1995-01-05,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1995-01-06,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1995-01-09,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1995-01-10,20.8,31.1,-2.24,-6.85,0.49289,-1.23369,-0.05847,-0.46426,0.0013,0.011925
1995-01-11,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-01-12,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-01-13,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-01-16,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-01-17,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-01-18,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-01-19,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-01-20,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-01-23,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-01-24,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-01-25,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-01-26,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-01-27,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-01-30,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-01-31,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-02-01,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-02-02,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-02-03,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-02-06,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-02-07,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-02-08,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-02-09,20.8,31.1,-2.24,-6.85,0.49289,-1.13882,-0.05847,-0.46426,0.0013,0.011925
1995-02-10,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-02-13,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-02-14,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-02-15,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-02-16,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-02-17,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-02-21,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
